,out_channels,kernel_size,stride,pool_kernel,train_loss,test_loss
0,2,48,1,2,0.00507495653058779,0.004975930446536764
1,2,48,1,4,0.007730280819939102,0.0075306842656284925
2,2,48,1,8,0.007717610121560679,0.007580785356526315
3,2,48,1,16,0.0075985891374211025,0.007254280025486323
4,2,48,2,2,0.08328408781531246,0.08339494105631806
5,2,48,2,4,0.0056418123494885696,0.005489765412178054
6,2,48,2,8,0.005616473841070322,0.005522972982867908
7,2,48,2,16,0.013039460127134646,0.012678449802094977
8,2,48,4,4,0.006318447770239076,0.006079583441927159
9,2,48,4,8,0.03629105457051487,0.036046382860855514
10,2,48,4,16,0.011262880724315109,0.01126465274458879
11,2,48,16,16,0.03682055528105724,0.03661293880674153
12,2,64,1,2,0.005505524893479446,0.005524805997422057
13,2,64,1,4,0.005445184978420814,0.005169147521455996
14,2,64,1,8,0.006808084070674153,0.006586760463678712
15,2,64,1,16,0.004551972544084949,0.004603106194365552
16,2,64,2,2,0.005796207950932618,0.005712588302923648
17,2,64,2,4,0.005672646254191271,0.005589346535132949
18,2,64,2,8,0.0058203213621736425,0.005697676149579096
19,2,64,2,16,0.007415038675568023,0.007203850587670786
20,2,64,4,4,0.007123098838328267,0.007086511994769639
21,2,64,4,8,0.010214332927969855,0.00980601108980408
22,2,64,4,16,0.022877033567889837,0.022246775838265287
23,2,64,16,16,0.03304315706115099,0.03271056402974798
24,2,76,1,2,0.00820414585805503,0.008014684935535808
25,2,76,1,4,0.0056361297297545,0.005695086803885264
26,2,76,1,8,0.006752116384866278,0.006531395221263055
27,2,76,1,16,0.007021729297461744,0.00687181352771178
28,2,76,2,2,0.006770359359055035,0.006432231601143829
29,2,76,2,4,0.005932996207672033,0.005806484938172912
30,2,76,2,8,0.00814344470080364,0.00799394601581233
31,2,76,2,16,0.006744854844948878,0.006784515685181495
32,2,76,4,16,0.022803805858843694,0.022677579505000753
33,2,76,16,16,0.03938282428328879,0.03922597033753622
34,4,48,1,2,0.008388817619809781,0.008262515011675584
35,4,48,1,4,0.006692924803710322,0.006562807243367231
36,4,48,1,8,0.007024128008647922,0.006871293914850512
37,4,48,1,16,0.00548933558396384,0.005264653163249511
38,4,48,2,2,0.0064270801668961635,0.006362502850774451
39,4,48,2,4,0.005044248802066401,0.004759609936143048
40,4,48,2,8,0.0071333872440613975,0.007027683859618393
41,4,48,2,16,0.007111594482028088,0.006755300803290052
42,4,48,4,4,0.007208323255236188,0.007218300470617917
43,4,48,4,8,0.005432596683934862,0.005369972780203366
44,4,48,4,16,0.011553011477019873,0.011154684165265235
45,4,48,16,16,0.033722301306986203,0.03326291822040377
46,4,64,1,2,0.005976981224413454,0.005749559581768505
47,4,64,1,4,0.0052514091953923024,0.0051536731832685
48,4,64,1,8,0.005623687982449544,0.0054190349160940475
49,4,64,1,16,0.005623517678218029,0.005425089560630703
50,4,64,2,2,0.006570269547808874,0.006460541500063713
51,4,64,2,4,0.007580157028360405,0.0075762764852478764
52,4,64,2,8,0.005405149913990168,0.005238396881308003
53,4,64,2,16,0.005916431140887863,0.006035839541983708
54,4,64,4,4,0.005150718253441242,0.0050363828091904705
55,4,64,4,8,0.005486994561969255,0.005383122907035619
56,4,64,4,16,0.0072830094405897374,0.007064161858024144
57,4,64,16,16,0.03130249980180983,0.031093824276193126
58,4,76,1,2,0.005609604504052031,0.005583169662794806
59,4,76,1,4,0.008655372508943895,0.008726722777148522
60,4,76,1,8,0.006302118031312509,0.006109834529274324
61,4,76,1,16,0.00607209081741027,0.005803618408731112
62,4,76,2,2,0.005121314101238521,0.004990990724447437
63,4,76,2,4,0.006306024475333161,0.006025309065127725
64,4,76,2,8,0.007879020421500946,0.007606395974566362
65,4,76,2,16,0.004878898446516908,0.0048121815238489395
66,4,76,4,16,0.007154352934932892,0.006964911046140834
67,4,76,16,16,0.043353943026813724,0.04321652943029239
68,6,48,1,2,0.0833333874176542,0.08341666666514852
69,6,48,1,4,0.006913250437730204,0.006889485838800656
70,6,48,1,8,0.004962408516885151,0.004906257983093877
71,6,48,1,16,0.00595955066372093,0.0060248373264620144
72,6,48,2,2,0.005733561671392713,0.005637952531499615
73,6,48,2,4,0.006860380688052445,0.006675604577041994
74,6,48,2,8,0.005909203720885765,0.005855545034914355
75,6,48,2,16,0.007997676041195608,0.007883015210789303
76,6,48,4,4,0.00592677090540484,0.00579397943480634
77,6,48,4,8,0.0063929480524193,0.006163872286312903
78,6,48,4,16,0.013854892852512075,0.013676399046597036
79,6,48,16,16,0.04130290676341304,0.041115867248386034
80,6,64,1,2,0.005669525158901506,0.0055694279672910615
81,6,64,1,4,0.00565627562438522,0.005653820573055421
82,6,64,1,8,0.0057656839348502,0.005625969800404031
83,6,64,1,16,0.005182320073204256,0.0051261933968988595
84,6,64,2,2,0.005255183434620898,0.005295114410299958
85,6,64,2,4,0.3157472628530187,0.3157996029072823
86,6,64,2,8,0.005978835200940003,0.005978023427995728
87,6,64,2,16,0.00617935504336227,0.006076578549550829
88,6,64,4,4,0.004802467774869869,0.004763129461231049
89,6,64,4,8,0.006612323131021697,0.0064364758022454095
90,6,64,4,16,0.00771270934869062,0.007598587394192504
91,6,64,16,16,0.03775365440808554,0.03738562030462051
92,6,76,1,2,0.08332407259527304,0.08341666660435433
93,6,76,1,4,0.0062323888522938615,0.006188887921871668
94,6,76,1,8,0.005197298867724218,0.005148936667017575
95,6,76,1,16,0.005333113681026784,0.0053335812543795404
96,6,76,2,2,0.08325939909832449,0.08350080907681101
97,6,76,2,4,0.006063497991735417,0.005985900719536408
98,6,76,2,8,0.005809002454522895,0.005597619727606747
99,6,76,2,16,0.006192188515296629,0.005992620580202745
100,6,76,4,16,0.026287683887382125,0.026104690483462787
